wolof_word,word_type,english_meaning,wolof_phrase,english_phrase
deeloo,v,to return,Deeloo naa ko alelam.,I've returned his belonging/property.
deelu,v,to go back,Gan yi deelu na dekkaam.,The guest went back to his village.
deédeét,ex,no,Deédeét duma ko def.,"No, I will not do it."
deégoo,va,"to be in agreement, to agree on",Ñoom ñaar deegoo neñu ci wox gi.,Both of them has agreed on the discussion.
def,v,"to do, put, spend",Loo bugga ma def?,What do you want me to do?
defaat,n,repeat,,
defar,v,"to make, repair",Defaral ma lekka.,Make food for me.
defe,va,"to be believe, think, to assume",Defe naa ne munge roose naako bi.,I believe he is watering the garden.
dege,n,peanut butter,Riibal ki dege ci mbuuru mi.,Spread the peanut butter on the bread.
dekka,n,"live, village, town",Fii suma dekka la.,Here is my town.
dekkandoor,n,statement,,
dekuwaay,n,residence,,
delusi,v,to come back,Kan ngay deelusi?,When will you come back?
dem,v,to go,Mangi wara dem seet suma doóm.,I should go to visit my child.
dendoo,va,to be near by,Noo dendoo kër.,We live nearby/we are neighbour.
den,va,"to be state of being taken out, to be removed",Pentuur bi deň na.,The paint is in the state of being taken out.
deñca,v,"to keep, save",Deñca na ko.,He saved it.
der,n,"image, skin",Bul yaaxa suma der.,Don't tarnish my image/don't defame me.
deret,n,blood,Deret moo gëna foór ndox.,Blood is thicker than water.
des,v,to remain,Des na naari fan.,It remain two days.
dese,v,"to still have, have less than, be deficient",Dafa dese deret.,He has blood deficiency.
dex,n,river,Fii dex la.,Here is a river.
déc/dëj,n,funeral,Dafa dem dëc.,He went to a funeral.
déeg,n,"pool, pond",Dinaa sangu si déeg bi.,I will swim in the pool.
déega,v,"to hear, understand",Déega naa la bu baax.,I hear you very well.
déemba,n,yesterday,Déemba la éksi.,He arrived yesterday.
dégaat,v,to step on someone/thing,Bull dégaat jiwi yi.,Don't step on the plants.
dégga,va,"to be true, truth",Wox ma déga gi.,Tell me the truth.
déglu,v,to listen,Mangee déglu woxtaan gi.,Iam listening to the conversation.
dégmu,v,to cup one's chin,Dafa waaru moo tax mu dégmu.,She is
dénga,v,"to to be bent, be crooked",Kii nit ku déngo la.,He is a crooked person.
dénka,v,to entrust under someone's care,Dénka naa la suma neeg bi.,I entrust my house under your care.
dénku,v,"to advise, to promise, to warn",Mangi laa dénku wax jii.,I am advicing you with these words.
déñkumpa,va,"to be be nosy, be inquisitive",Danga deňkumpa torop.,You are so inquisitive.
dëdale,v,"to create confusion & enemit, seperate, between two parties",Dëdale na xarit ñi.,He seperated the friends.
dëgër/dëgar,va,"to be be hard, be strong",Lii dafa dëgër siu xeer.,This is hard as stone.
dëgëraay,adj,hardness,Dëgëraayi suuf moo tax nuy roose.,The hardness of the soil is the reason for us watering.
dëkka,v,to live,Xale yi banjul leñu dëkka.,The children live in Banjul.
dëkkandoo,n,neighbour,Yow suma dëkkandoo nga.,You are my neighbour.
dën-kumpa,n,nosy,,
dënna,n,chest,Dënna bu meeti laa am.,I have chestache.
dët,v,to stammer,Dafa dee det torop.,He stammers a lot.
dëwën,n,next year,Dëwën la wara ñibi.,He should go home next year.
dig,v,to promise,Yaa ma dig xaalis.,You promised me money.
digaale,v,to to have a bond in agreement with someone,Nun ñoo ko digaale.,We had a bond.
digga,prep,the middle,Suma neég bee nekka ci diga.,My house is suitable in the middle.
diggal,v,"to give advice, recommend",Moo ma digal pur ma toog.,He adviced me to stay.
diggante,prep,in-between,Mungi dekka ci degante bantabaa bi ak tén bi.,He live between the bantaba and the well.
diggi-kër,n,courtyard,Diggi-kër gi yaatu na lool.,The courtyard is very spacious.
diggi-néeg,n,centre of the house,Mungi taxaw ci diggi-néeg bi.,She is standing at the centre of the house.
digi-ganaaw,n,back,Xesenal ma suma digi-ganaawgi.,Scratch my back for me.
diig,v,"to sink, to submerge",Gaal gi diig na ci geej gi.,The ship sank in the sea.
diiju,n,be behave sulkily,Janxa bangee diiju magam bu jigeén.,The girl is behaving sulkily toward elder sister.
diiné,n,religion,Kii ku am diiné la.,He is religious.
diir,n,"aim, period",Dinaa la gis ci diir gu gaata.,I will see you in a short period of time.
diis,va,"to be heavy, have status(slang), to cinfide to someone",Wolis bi dafa diis.,The trunk is heavy.
diisó,n,discuss,Kaay ñu diisoó.,Come let us discuss.
dija,adj,"be large, be big",Mango bu dija la dog.,He cut a large mango.
dikale,n,moody,,
dikka,v,to come,Dinaa dikka leégi.,I will come right now.
dimbal,n,help,Dañoo lajte dimbal.,They are asking for help.
dimbale,v,"to help, assist",Dama leen bugga dimbale.,I want to help them.
dineñu,f,We/they will,Dineñu pare légi.,We will finish soon.
Dinga,n,you will(singular),Dinga ji sorans.,You will plant oranges.
dingeen,f,you will (plural),Dingeen ko yoobuwaale.,You will take him along.
din-dini,v,to stamp,Mungee din-dini tankam bi.,He is stamping his foot.
dinool,n,querilla,Diņool dafa náaw.,A querilla is ugly.
dipi,v,"to uncover, turn face down, since",Dipi ci bëcëk laa delusi.,I returned since in the afternoon.
diw,n,oil,Jaay ko ñaari poti diw.,Sell me two cups of oil.
diwingalam,n,"shea butter, ghee",Diwingalam dafa baax ci yaram.,Shea butter is very good on the body.
diwiñor,n,fat,Bugguma diwiñor.,I don't want fat.
diwliin,n,cooking oil,Diwliin lay jenda.,She is buying cooking oil.
diwtiir,n,palm oil,Diwtiir laa namma.,I miss palm oil.
dof,adj,mad-person,Alikali dafa dof.,Alikali is a mad-man.
dof,va,to be stupid,Yow danga dof.,You are stupid.
dog,v,"to cut, slice, a slice",Dog naa mbuuru bi.,I cut the bread.
dogal,v,"to rule, pass a judgement, decide, order",Nguur gi dogal na aate bi.,The government has ruled in court.
dogandu,v,"to obstruct to, to cut across a road",Bugguma ken dogandu ma ci suma leggay.,I don't want any body to obstruct me in my work.
dogit,n,"piece, slice",Dogit rek laa soxla.,I need only a piece.
doktor,n,doctor,Doktor mey ma garab.,Doctor give me medicine.
dóma/dëma,n,witch,Maaget bii dóma la.,This old woman is a witch.
dompat,v,"to pinch, gripping stomach",Biiram beey dompat.,His stomach is gripping.
donja,n,"cube, a lump",Bena donja rek la.,It's only one cube.
donkaasi,n,united,Reew tubaab yi deñu am donkaasi.,The western world has had unification.
donma,n,personality,,
donna,n,inherit,Maa donna suma baay.,I inheritted my father.
doo,fn,you'll not,Doo lekka tey.,You will not eat today.
doo,adj,"another, other",,
doojoor,n,ankle,Dama gaañu ci doojoor.,I hurt my ankle.
doole,n,"power, strength",Borom doole la.,He is a powerful guy.
doom,n,"child, off spring",Kii suma doom la.,This is my child.
dóom,n,ashes,Defal ma dóom ci anda wi.,Put the ashes in the incense pot for me.
door,v,"to begin, start, commence",Liggey bi door na.,The work has started.
dóor,v,"to beat, strike",Nungee dóor sabar gi.,They are beating the drum.
dóppa/dellu,v,to turn back,Faa da dóppa.,I am turning back.
dóppa/deppa,v,"to cover, turn face down",Doppal cin li.,Cover the cooking pot.
dot,n,stupid,,
dox,v,to walk,Dama dox liggey ni.,I walked to work.
doxaan,v,"to court, date",Mungi bugga doxaan sa rakka bu jigeén.,He wants to date your younger sister.
doxaankat,n,someone who courts,Yow doxaankat nga.,You are a person who is fund of dating.
doxandéem,n,waif,Doxandeem bi amuti lum lekka.,The waif doesn't have anything to eat.
doxanéem,n,outsider,,
doxantu,v,"to take a walk, stroll",Xale yi ñungee doxantu ci mbedda bi.,The children are taking a walk on the street.
doxee,v,"to walk with, walk from",Mangee doxee ak banta.,Iam walking with a stick.
doxot,v,to fart,Doxot baaxut ci ndaje.,To fart in the public is not good.
doy,va,to be enough,Coow bi doy na.,The noise is enough.
doyadi,va,"to be abnormal, infantile(slang), to be inadequate",Lii dafa doyadi.,This is abnormal.
doylu,n,satisfied/good,,
doywaar,n,"be terrible, be of great surprise, be awful",Sa wah ji dafa doywaar.,Your speech is terrible.
du,fn,"he/she/it is not, he/she/it will not",Lii du taati garab.,This is not a tree.
dugga,v,to enter,Dugga na ci neég bi.,He enter the house.
duggal,n,slot,,
duggo,v,to shop in the market,Mangee duggi marse.,I am going to shop at the market.
duggoo,n,"transaction, business",Mungee duggoo xaalis.,He is transacting money.
dugub,n,millet,Béykayi dugub leñu xam.,The farmers know millet.
duguj-dagac,va,to be swaying the hips,Ndaw sangee duguj-dagac.,The lady is swaying her hips.
dukat,v,to lift,Lebrees bangee dukat saaku maalo bi.,The labourer is lifting the bag of rice.
dukku,v,to bribe,Dukku jëf ju bon la.,Bribbing is a bad deed.
duma,fn,"I will not, I am not",Duma saangu ci tangaay bi.,I will not cover my self in the hot season.
duma/dor,v,to beat,Xale bi leñoo duma.,They are beating the child.
dunda,n,"live, be alive, exist, to enjoy(v)",Mungee dunda nim waree.,He is enjoying as he likes.
dungus/duf,va,to be fat,Dafa dungus.,He is fat.
dunxa,n,feather,"Dunxa gi ci ganaar bale, refet na.",The feathers on that chicken are beautiful.
duñu,fn,we/they will not,Duñu dem jëmbati garab tey.,We will not go to plant trees today.
dur,inten,be very drunk(expressio)s,Dafa mandi dur.,He is very drunk.
duuf,adj,"be enormous, be big",Papakaayo bi doom yi duuf la dee jur.,The papaya tree bears enormous fruits.
duufal,v,to to fatten especially an animal,Nax dafa dee dufal xar.,Grass fatten sheep.
duul,n,"faeces, lies",Lii duu li xalel la.,These are chicken dropping.
duul,v,"to defecate, to tell alie(slang)",Duul nga.,You lied.
duy,v,to draw/fetch water,Faatu dem na pur duy ndox.,Faatu went to fetch water.
eb,v,to load,Eb leeň bagaas yi.,Load the luggage.
ebal,v,"to send, to delegate",Ebal neñu ndaw ci ndaie me.,They sent a delegate to the meeting.
eboo,ex,"alerm used to indicate e, is no choice",Soo eboo ñibi.,"If you want, go home."
ebu,va,"to be be interested in, pack one's belonging",Ebu nga ci suma affeer.,You are very interested in my affairs.
ee,v,"to call someone's attention, wake someone up",Ee ñowal!,You come here!
eebi,v,to unload,Waa dekka bi eebi neñu dundu gi.,The villagers have unloaded the food.
eeda,v,to advice,Kii soxlut eeda.,This person doesn't need advice.
eedakat,n,advicer,Saam mooy woon suma eedakat.,Sam was my adviser.
eega,v,to arrive,War neñoo egga leegi.,They should reach now.
eel,n,shin,Dafa gaañu ci eel.,He has hurt his shin.
eeloo,v,"to merit, to deserve",Danga mun sa ligeey moo tax nga eeloo ko.,You are able to do your work that's why you merit it.
eemba,va,"to be be sane, be normal",Kii xale bu emba la.,This is a normal child.
eembadi,va,"to be be insane, be abnormal",Yow ku embadi nga.,You are an insane person.
eendal,v,to spend a day,Maa lay endal.,I will spend the day with you.
eendu,v,to spend the day,Mangee endu ji ca Momodou.,I am spending the day at Momodou's house.
ees/bees,adj,new/fresh,Suma xarit yoonee na ma mbubba bu ees.,My friend sent me a new dress.
eesa-ees,adj,very new/fresh,Saleengi sol daala bu eesa-ees.,Sally has brand new shoes on.
eeta,v,to carve,Eeta dafa meeti.,Carving is difficult.
eeta,n,"carve, front yard",Bale leen ëta bi be mu set.,Sweep the front yard until its clean.
eew,v,to tie,Mbaa sammakat gi eew na xar yi.,I hope the shephard tied the sheep.
eewoo,v,"to wake up with, wake up at",Tey dama eewoo mer.,Today I woke up being upset.
eewu,va,"to be to be awake, to be enlightened",Dama teela eewu.,I woke up early.
egsi/agsi,v,to arrive,Gan gi egsi na.,The guest has arrived.
ekateku,v,"to be chipped, lift up and raised",Silin be dafa eekateku.,The ceiling is chipped.
ekati,v,to chip,Ku eekati banta bi?,Who chipped the log?
Elimaan,n,"Imam, mosque head",Almaami bi yaram la.,The Eliman is a revered person.
em,va,"to be fit, have the same size, careful",Yemal fii oorut.,"Be careful, it is not save here."
em,v,"to fit, have the same size",Mbubbam bi em na ko.,His shirt fits him.
emadi,v,to be restless,buguma nit ku emadi.,I don't like a restless buddy.
emale,v,"to measure, trim",Wox ko mu emale ko.,Tell him to trim the edges.
emale,va,"to be make fit, make calm",Emalel ma sipa bi.,Make the skirt so it fits me.
en,v,"to head, load, put a load on one's",En ma saaku bi.,Put the bag on my head.
en,n,luggage,Aparante bangee eegal en bi.,The aparente is loading the luggage.
endu,v,to spend the day,Tey fii lay endu.,I will spend the whole day here today.
enu,v,to carry on the head,Enul lal bi ma tiye epons bi.,Carry the bed on your head let me hold the mattress.
eñ,v,"to lift up, to roll, to turn",Jigeen waruta en yeram ci biir ndaje.,a woman shouldn't lift up her clothes in public.
epons,n,"sponge, foam",Binta soxla na epons ci lalan bi.,Binta needs a foam on her bed.
esaans,n,petrol,Dafa ñaaka esaans.,He has no petrol.
esaanseer,n,petrol/gas station,Joan jëli na esaans ci esaanceer bi.,Joan has gone to get gas at the petrol station.
esen,v,"to scratch, to itch",Esen nga sa ganaaw gi.,Your have scretched your back.
estuwaar,n,"calamity, crime",Baayil di ékati estuwaar.,Stop creating calamity.
et,n,"stick, log",Bul ko dooree et bi.,Don't beat him with the stick.
ey,adj,"be innocent, oh! (expression)",Moo ey.,He has proven his innocences.
éeg,v,to climb,Bul éeg dinga daanu.,Don't climb you will fall down.
éegali,v,"to complete, to finish",ndax eégali nga li ma la santoon.,Did you complete what I asked you to do.
éegee,v,to deliver a message,Eégeé ngeen ma baneex.,You've delivered a joyful message to me.
éemu,va,"to be devoted, aim at",Moon dafa eemu ci yalla.,He devoted himself to God.
éen,n,"eye brown, eye brow",War ngaa waani sa éen yi.,You should reduce your eye browns.
éené,v,to wish whole heartedly,Éene na la lu baax.,He wish you the best.
ééfar,n,pagan,Ku amut diiné ééfar,Anyone who has no religion is a pagan.
ééga,v,to arrive at,Wox ji waruta ééga fofu,The discussion should not arrived at that.
ëkati,v,to lift,ëkatil xale bi dafa soona tedda,"Lift the child, he is tired of lying."
ëkka,n,"male cow, bull",Duma jaay suma yëkka yi,I will not sell my bulls.
ëkka,adj,"stump, hectar, oxen",Daaw beyoon naa juróomi ëkka,Last year I cultivated five hectors.
ëllëk,n,tomorrow,"ëllëk, duñu am garab su nu dogee taati garab yi yep",If we cut all the trees there will be no trees tomorrow.
ëna,adj,"be fermented, smell bad, be dirty",Céré bi ëna na,The cus-cous has fermented.
fa,da,there,Pitax bangi fa,The pigeon is there.
faaca,v,to burst,Mbuus bi faaca na,The bag has bursted.
faar,n,rib,Suma faar yaay meeti,My ribs are aching.
faaru,v,to impress someone,Musu la Omar don faaru,Omar was trying to impress Musu.
faas,n,"inquisitive, beard",Faas jiko ju bon la,Inquisitiveness is a bad habit.
faate,v,to forget,Bul faate li ma la wox,Don't forget what I told you.
faateleku,v,to remember,Yangee faateleku xarkanaman gi,Do you remember his face?
faatu,n,"name, lady's name",Faatu laa tudda,My name is Faatu.
faatu,v,to die,Ku feebar ki faatu na démba,The patient died yesterday.
faj,v,"to cure, treat, heal, solve",Doktor bi faj na ko,The doctor has cured him.
fajar,n,dawn,Eewu fajar yombut,To wake up at dawn is not easy.
fajkat,n,healer,Waajiiy mooy fajkati yax yuy meeti,This guy is the rheumatism healer.
faju,v,to cure oneself,Danga wara faju pur wër,You should cure yourself to be healthy.
fakatalu,v,"to stumble, kick unexpectedly with the toe","Faatu angee soox, daffa fakatalu","Faatu is limping, she stumbled."
fal,v,to elect,Laay leñu bugga fal,We want to elect Laay.
fale/félé,dem,there,Mbubit maanga fale,The trash is there.
falu,va,"to be elected, germinate",Weer yii la falu,He was elected these last months.
fan,n,day,Tey netti fanla,Today is third day.
fan,inten,where,Fan nga demoon?,Where have you been to?
fanaal,n,lantern boat,Jaapa leen fanaal bi balaa moo daanu,You all hold the lantern boat before it falls.
fanaan,v,to spend the night,Ci suma xarit laa fanaan,I spent the night at my friend's house.
fanaanal,v,to spend the night sometime,Fanaanal fii tey,Spend the night here today.
fanaane,v,to spend the night with,Koo fanaane?,Whom did you spend the night with?
Fande,n,surname,,
Fande,va,"to be late for something, be on the rocks, be stranded",Faatu fande na añ,Fatou was late for lunch.
fanweer,n,thirty,fanweeri fan a nekka ci weer wi,There are thirty days in the month.
fanxa,v,to prevent,Garab gii moy fanxa jangoro gii,This medicine prevents this disease.
far,v,"boyfriend, be thick, partake, to erase",Dama namma suma far bi,I miss my boyfriend.
faral,v,"to take sides, to partake",Man moom laa faral,I take sides with her.
farata,n,"obligation(religion), something esential",Farata la pur di,
farax-raxi,v,to walk fastly,Goór gangee farax-raxi,The man is walking fast
farlu,va,"to be be dedicated, be devoted",Ndaw sii farlu na ci ligeeyam bi torop,This lady is very dedicated to her job
fas,v,"to make a knot, eat liquid food with the bear hand",Fas bi lokka na ngoonam bi,The horse has eaten its hay
